EnglishName,NepaliName,District
Devraj Ghimire,देवराज घिमिरे,Jhapa
Indira Rana,इन्दिरा राना,Jhapa
Achyut Prasad Mainali,अच्युत प्रसाद मैनाली,Bara
Ajay Kumar Chaurasiya,अजय कुमार चौरसिया ,Parsa
Anjani Shrestha,अन्जनी श्रेष्ठ,Chitwan
Anita Devi,अनिता देवी,Dhanusa
Anisha Nepali,अनिशा नेपाली,Salyan
Abdul Khan,अब्दुल खांन ,Bardiya
Aman Lal Modi,अमन लाल मोदी,Morang
Ambika Basnet,अम्बिका बस्नेत,Kathmandu
Ammar Bahadur Thapa,अम्मर बहादुर थापा,Dailekh
Ammar Bahadur Rayamajhi,अम्बर बहादुर रायमाझी,Udayapur
Dr. Amresh Kumar Singh,डा. अमरेश कुमार सिंह,Sarlahi
Amrit Lal Rajbanshi,अमृत लाल राजवंशी,Jhapa
Amrita Devi Agrahari,अमृता देवी अग्रहरी,Kapilbastu
Arjun Narsingh K.C.,अर्जुन नरसिह के.सी.,Nuwakot
Arun Kumar Chaudhary,अरुण कुमार चौधरी,Kailali
Ashok Kumar Chaudhary,अशोक कुमार चौधरी,Sunsari
Ashok Kumar Rai,अशोक कुमार राई,Sunsari
Ashma Kumari Chaudhary,अस्मा कुमारी चौधरी,Dang
Ashim Shah,असिम शाह ,Kathmandu
Dr. Aarju Rana,डा. आरजु राणा,Dadeldhura
Asha B.K.,आशा वि.क. ,Banke
Ishwor Bahadur Rijal,इश्वर बहादुर रिजाल,Dolakha
Ishwori Gharti ,इश्वरी घर्ती,Rolpa
Ishwori Devi Neupane,ईश्वरी देवी न्यौपाने,Kailali
Udaya Shumsher J.B. Rana,उदय शंशेर ज.व.राणा,Lalitpur
Upendra Yadav,उपेन्द्र यादव,Bara
Umaravati Devi ,उमरावती देवी,Bara
Urmila Thebe,उर्मिला थेबे,Taplejung
Urmila Majhi,उर्मिला माझी,Lamjung
Rishikesh Pokhrel,ऋषिकेश पोखरेल,Morang
Eknath Dhakal,एक नाथ ढकाल,Gorkha
Yen Bahadur Shahi Thakuri,ऐन बहादुर शाही ठकुरी,Mugu
Kalpana Chaudhary,कल्पना चौधरी,Sunsari
Kalpana Miya Kusari,कल्पना मियाँ कुसारी ,Rukum West
Kantika Sejuwal,कान्तिका सेजुवाल,Jumla
Dr. Kaluram Rai,डा. कालुराम राई,Jhapa
Kiran Kumar Shah,किरण कुमार साह,Rautahat
Kishor Singh Rathore,किशोर सिंह राठोर,Banke
Kusumdevi Thapa,कुसुमदेवी थापा,Rukum East
Krishna Kumar Shrestha,कृष्ण कुमार श्रेष्ठ,Bara
Krishna Gopal Shrestha,कृष्ण गोपाल श्रेष्ठ,Kathmandu
K.P. Sharma (Oli),के.पी. शर्मा (ओली),Jhapa
Kham Bahadur Garbuja,खम बहादुर गर्बुजा,Myagdi
Gagan Kumar Thapa,गगन कुमार थापा,Kathmandu
Ganesh Parajuli,गणेश पराजुली,Kathmandu
Gita Basnet,गिता बस्नेत,Bardiya
Gokarna Raj Bista,गोकर्णराज विष्ट,Gulmi
Gokul Prasad Baskota,गोकुल प्रसाद बास्कोटा,Kavrepalanchowk
Goma Labh (Sapkota),गोमा लाभ (सापकोटा),Mahottari
Ganga Karki,गंगा कार्की,Dolakha
Ganga Prasad Yadav,गंगा प्रसाद यादव,Siraha
Ganga Ram Chaudhary,गंगाराम चौधरी डगौरा,Kailali
Chanda Karki (Bhandari),चन्दा कार्की (भण्डारी),Lalitpur
Chanda Chaudhary,चन्दा चौधरी,Sarlahi
Dr. Chandrakanta Bhandari,डा. चन्द्रकान्त भण्डारी,Gulmi
Dr. Chandra Kant Raut,डा. चन्द्र कान्त राउत,Saptari
Chandra Bahadur Bishwakarma ,चन्द्र बहादुर विश्वकर्मा,Rukum West
Chitra Bahadur K.C.,चित्र बहादुर के.सी.,Baglung
Chhabilal Bishwokarma,छविलाल विश्वकर्मा,Rupandehi
Chhiring Damdul Lama ,छिरीङ डम्डुल लामा,Humla
Chhiring Lhamu Lama (Tamang),छिरिङ ल्हामु लामा (तामाङ),Jumla
Janardan Sharma,जनार्दन शर्मा,Rukum West
Jwala Kumari Shah,ज्वाला कुमारी साह,Bara
Jabeda Khatun Jaga,जावेदा खातुन जागा,Bardiya
Jiban Pariyar,जीवन परियार,Kaski
Juli Kumari Mahato (Mahaseth),जुली कुमारी महतो (महासेठ),Dhanusa
Tek Bahadur Gurung,टेक बहादुर गुरुङ,Manang
Top Bahadur Rayamajhi,टोप बहादुर रायमाझी,Arghakhanchi
Thakur Prasad Gaire,ठाकुर प्रसाद गैरे,Palpa
Dig Bahadur Limbu,डिग बहादुर लिम्बु,Morang
Dilli Raj Panta,डिल्ली राज पन्त,Kailali
Dol Prasad Aryal,डोल प्रसाद अर्याल,Kathmandu
Tara Lama Tamang,तारा लामा तामाङ,Kanchanpur
Teju Lal Chaudhary,तेजु लाल चौधरी,Saptari
Dr. Toshima Karki,डा. तोसीमा कार्की,Lalitpur
Dayal Bahadur Shahi,दयाल बहादुर शाही,Bajura
Damodar Paudel Bairagi,दामोदर पौंडेल वैरागी,Kaski
Damodar Bhandari,दामोदर भण्डारी,Baitadi
Dikpal Kumar Shahi,दिक्पाल कुमार शाही ,Dailekh
Dinesh Kumar Yadav,दिनेश कुमार यादव,Saptari
Dipak Khadka,दिपक खड्का,Sankhubasabha
Dipak Giri,दीपक गिरी,Dang
Dipak Bahadur Singh,दिपक बहादुर सिंह,Makawanpur
Dipa Sharma,दिपा शर्मा,Banke
Dilendra Prasad Badu,दिलेन्द्र प्रसाद बडू,Darchula
Deepak Karki,दीपक कार्की,Dhanusa
Deepak Bohara,दीपक बोहरा,Rupandehi
Durga Rai,दुर्गा राई,Bhojpur
Durlav Thapa Chhetri,दुर्लभ थापा क्षेत्री,Bhaktapur
Dev Prasad Timalsena,देव प्रसाद तिमलसेना,Rautahat
Devi Prakash Bhattachan,देवि प्रकाश भट्टचन,Lalitpur
Devendra Paudel,देवेन्द्र पौडेल,Baglung
Dhan Bahadur Budha,धन बहादुर बुढा,Dolpa
Dhanraj Gurung,धनराज गुरुङ्ग,Syangja
Dr. DhawalShumsher J.B. Rana,डा. धवल शम्सेर ज.व.रा.,Banke
Dhurba Bahadur Pradhan,ध्रुव बहादुर प्रधान,Nawalparasi
Nawal Kishor Shah Sudi,नवल किशोर शाह सुडी,Saptari
Nagina Yadav,नागिना यादव,Mahottari
Dr. Narayan Khadka,डा. नारायण खड्का,Udayapur
Narayan Prakash Saud,नारायण प्रकाश साउद,Kanchanpur
Narayan Prasad Acharya,नारायण प्रसाद आचार्य,Palpa
Narayani Sharma,नारायणी शर्मा,Dang
Nirmala Koirala,निर्मला कोइराला,Parsa
Nisha Dangi,निशा डागी,Jhapa
Nainakala Thapa,नैनकला थापा,Chitwan
Padam Giri,पदम गिरी,Parbat
Pashupati Shumshera J.B.Rana  ,पशुपति शमशेर ज.ब.रा.,Sindhupalchowk
Pushpa Kamal Dahal (Prachanda),पुष्प कमल दाहाल (प्रचण्ड),Gorkha
Pusp Bahadur Shah,पुष्प वहादुर शाह,Achham
Purna Bahadur Khadka,पूर्ण वहादुर खड्का,Surkhet
Purna Bahadur Gharti,पुर्णबहादुर घर्ति,Rukum East
Purna Bahadur Tamang,पूर्ण बहादुर तामाङ्ग,Ramechhap
Prithvi Subba Gurung,पृथ्वी सुब्बा गुरुङ,Lamjung
Prakash Adhikari,प्रकाश अधिकारी ,Siraha
Prakash Jwala,प्रकाश ज्वाला,Salyan
Prakash Man Singh,प्रकाश मान सिंह,Kathmandu
